Designator,Mid X,Mid Y,Rotation,Layer
C1,156.75,-111.25,-60.0,top
C2,126.25,-93.0,0.0,top
C3,171.75,-86.0,180.0,top
C4,156.124233,-125.713644,-75.0,top
C5,142.25,-86.0,-55.0,top
D1,150.0,-100.0,0.0,top
D10,139.25,-77.25,0.0,top
D11,153.0,-75.0,0.0,top
D12,166.25,-80.25,0.0,top
D13,174.25,-92.0,0.0,top
D14,175.25,-105.0,0.0,top
D15,170.75,-115.0,0.0,top
D16,162.25,-122.75,0.0,top
D17,148.5,-126.0,0.0,top
D18,136.25,-121.25,0.0,top
D19,127.75,-112.0,0.0,top
D2,150.0,-85.0,0.0,top
D3,162.5,-92.5,0.0,top
D4,162.5,-107.5,0.0,top
D5,150.0,-115.0,0.0,top
D6,137.5,-107.5,0.0,top
D7,137.5,-92.5,0.0,top
D8,124.75,-99.75,0.0,top
D9,128.5,-86.5,0.0,top
H1,142.75,-112.5,0.0,top
H10,124.5,-106.0,0.0,top
H2,157.75,-86.5,0.0,top
H3,163.75,-99.75,0.0,top
H4,132.25,-116.5,0.0,top
H5,130.0,-102.5,97.0,top
H6,170.0,-97.367973,97.0,top
H7,175.75,-98.75,0.0,top
H8,134.0,-99.5,0.0,top
H9,133.0,-81.0,0.0,top
